PV MassSpec-24.10.00
EXPORTED RUN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\002-11-2025\100PPMCH4-TR1, Position 1, RGA PrismaPro A 200 47505932, 002-11-2025 16'54'02.isi
02/11/2025 16:54:02
SensorID:  RGA PrismaPro A 200 47505932
26 Bins
467 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	16_amu_(Methane)	18_amu_(Water)	28_amu_(Nitrogen)	32_amu_(Oxygen)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11
0.835	1739289242.989	02/11/2025_16:54:02.989	1	3	1.479776893e-05	3.455721753e-06	1.342721156e-09	1.605665878e-10	2.041021574e-08	4.526010233e-09	8.435896946e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.071	1739289243.225	02/11/2025_16:54:03.225	1	3	1.469343988e-05	3.510453553e-06	1.36338496e-09	1.621751206e-10	2.04091517e-08	4.512431762e-09	8.540330769e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.308	1739289243.462	02/11/2025_16:54:03.462	1	3	1.470193729e-05	3.495684041e-06	1.350527801e-09	1.627866453e-10	2.033637436e-08	4.488433625e-09	8.014543022e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.545	1739289243.699	02/11/2025_16:54:03.699	1	3	1.46717357e-05	3.454393891e-06	1.352290058e-09	1.590093335e-10	2.030277635e-08	4.475870785e-09	7.880978856e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.782	1739289243.936	02/11/2025_16:54:03.936	1	3	1.467576749e-05	3.461022516e-06	1.355897283e-09	1.583928128e-10	2.02393089e-08	4.490362748e-09	8.049477751e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
2.019	1739289244.173	02/11/2025_16:54:04.173	1	3	1.477024307e-05	3.465003374e-06	1.350269341e-09	1.609317124e-10	2.018560608e-08	4.437245682e-09	8.340560881e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
2.255	1739289244.409	02/11/2025_16:54:04.409	1	3	1.453341883e-05	3.461022516e-06	1.356254664e-09	1.587507209e-10	2.028391322e-08	4.441024437e-09	8.085667552e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
2.492	1739289244.646	02/11/2025_16:54:04.646	1	3	1.464709203e-05	3.455721753e-06	1.34493483e-09	1.597754429e-10	2.022271595e-08	4.448212465e-09	8.370272357e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
2.729	1739289244.883	02/11/2025_16:54:04.883	1	3	1.466257254e-05	3.412287242e-06	1.349078294e-09	1.593461196e-10	2.022769507e-08	4.423831079e-09	8.30010019e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
2.966	1739289245.120	02/11/2025_16:54:05.120	1	3	1.467517814e-05	3.431960749e-06	1.34604472e-09	1.580639092e-10	2.018584233e-08	4.458438507e-09	8.160552963e-12	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
