Time Relative (sec),Pressure_(mBar),Raw_Signal_Amps,mz,True_Concentration_ppm,Primary_Gas
0.835,1.479776893e-05,1.342721156e-09,16,100,Methane
1.071,1.469343988e-05,1.36338496e-09,16,100,Methane
1.308,1.470193729e-05,1.350527801e-09,16,100,Methane
1.545,1.46717357e-05,1.352290058e-09,16,100,Methane
1.782,1.467576749e-05,1.355897283e-09,16,100,Methane
2.019,1.477024307e-05,1.350269341e-09,16,100,Methane
2.255,1.453341883e-05,1.356254664e-09,16,100,Methane
2.492,1.464709203e-05,1.34493483e-09,16,100,Methane
2.729,1.466257254e-05,1.349078294e-09,16,100,Methane
2.966,1.467517814e-05,1.34604472e-09,16,100,Methane
3.203,1.472588792e-05,1.343477218e-09,16,100,Methane
3.439,1.4715416e-05,1.343940514e-09,16,100,Methane
3.676,1.473945576e-05,1.354762191e-09,16,100,Methane
3.913,1.471451833e-05,1.342309042e-09,16,100,Methane
4.15,1.470769712e-05,1.35314715e-09,16,100,Methane
4.387,1.470120787e-05,1.358924528e-09,16,100,Methane
4.623,1.473216616e-05,1.356281532e-09,16,100,Methane
4.86,1.471101677e-05,1.354543699e-09,16,100,Methane
5.097,1.467331731e-05,1.335079491e-09,16,100,Methane
5.334,1.46971679e-05,1.349973355e-09,16,100,Methane
5.571,1.484124277e-05,1.344520939e-09,16,100,Methane
5.807,1.453596906e-05,1.346373679e-09,16,100,Methane
6.044,1.458099905e-05,1.340800915e-09,16,100,Methane
6.281,1.463003991e-05,1.334509614e-09,16,100,Methane
6.518,1.468271148e-05,1.347184031e-09,16,100,Methane
6.755,1.472241092e-05,1.337361999e-09,16,100,Methane
6.991,1.469203562e-05,1.352190027e-09,16,100,Methane
7.228,1.479353159e-05,1.34877598e-09,16,100,Methane
7.465,1.470595271e-05,1.348120393e-09,16,100,Methane
7.702,1.481553409e-05,1.33927347e-09,16,100,Methane
7.939,1.463306762e-05,1.338595679e-09,16,100,Methane
8.175,1.462827368e-05,1.343404499e-09,16,100,Methane
8.412,1.466103004e-05,1.35771494e-09,16,100,Methane
8.649,1.465668447e-05,1.351905921e-09,16,100,Methane
8.886,1.46562661e-05,1.35221323e-09,16,100,Methane
9.123,1.467323e-05,1.344258815e-09,16,100,Methane
9.359,1.469548715e-05,1.349375722e-09,16,100,Methane
9.596,1.465203786e-05,1.34758138e-09,16,100,Methane
9.833,1.470289408e-05,1.343792522e-09,16,100,Methane
10.07,1.470484676e-05,1.339407696e-09,16,100,Methane
10.307,1.471457563e-05,1.333389066e-09,16,100,Methane
10.543,1.46984512e-05,1.340086375e-09,16,100,Methane
10.78,1.472495387e-05,1.349134138e-09,16,100,Methane
11.017,1.471943688e-05,1.350009327e-09,16,100,Methane
11.254,1.482928019e-05,1.345852985e-09,16,100,Methane
11.491,1.473598604e-05,1.346355472e-09,16,100,Methane
11.727,1.485787561e-05,1.344274914e-09,16,100,Methane
11.964,1.467849143e-05,1.35757583e-09,16,100,Methane
12.201,1.468963183e-05,1.337049582e-09,16,100,Methane
12.438,1.466412232e-05,1.341123101e-09,16,100,Methane
12.675,1.467610673e-05,1.34406497e-09,16,100,Methane
12.911,1.470509415e-05,1.355213164e-09,16,100,Methane
13.148,1.470706411e-05,1.364707347e-09,16,100,Methane
13.385,1.472871918e-05,1.348182121e-09,16,100,Methane
13.622,1.469152721e-05,1.357623125e-09,16,100,Methane
13.859,1.482285006e-05,1.342220335e-09,16,100,Methane
14.095,1.456916016e-05,1.352492673e-09,16,100,Methane
14.332,1.467528728e-05,1.340703881e-09,16,100,Methane
14.569,1.471219639e-05,1.342163936e-09,16,100,Methane
14.806,1.475092813e-05,1.344189537e-09,16,100,Methane
15.043,1.47130113e-05,1.347770562e-09,16,100,Methane
15.279,1.467277252e-05,1.343714362e-09,16,100,Methane
15.516,1.470195366e-05,1.342201905e-09,16,100,Methane
15.753,1.466008689e-05,1.336652899e-09,16,100,Methane
15.99,1.471807627e-05,1.347412182e-09,16,100,Methane
16.227,1.474032524e-05,1.33684519e-09,16,100,Methane
16.463,1.475887893e-05,1.336400324e-09,16,100,Methane
16.7,1.47401488e-05,1.351735501e-09,16,100,Methane
16.937,1.470071402e-05,1.346268097e-09,16,100,Methane
17.174,1.469437302e-05,1.344754086e-09,16,100,Methane
17.411,1.485201756e-05,1.331891597e-09,16,100,Methane
17.647,1.459173836e-05,1.343527067e-09,16,100,Methane
17.884,1.466326466e-05,1.343587241e-09,16,100,Methane
18.121,1.476906164e-05,1.340442535e-09,16,100,Methane
18.358,1.470297047e-05,1.34122613e-09,16,100,Methane
18.595,1.474021064e-05,1.338551936e-09,16,100,Methane
18.831,1.475772933e-05,1.345531575e-09,16,100,Methane
19.068,1.487077589e-05,1.334263922e-09,16,100,Methane
19.305,1.473925749e-05,1.347110423e-09,16,100,Methane
19.542,1.471512132e-05,1.327838062e-09,16,100,Methane
19.779,1.462089585e-05,1.340290656e-09,16,100,Methane
20.015,1.471867017e-05,1.343771427e-09,16,100,Methane
20.252,1.473749762e-05,1.34547784e-09,16,100,Methane
20.489,1.473413977e-05,1.34993472e-09,16,100,Methane
20.726,1.471989253e-05,1.359103385e-09,16,100,Methane
20.963,1.480195351e-05,1.346123435e-09,16,100,Methane
21.199,1.458059887e-05,1.348486434e-09,16,100,Methane
21.436,1.479284765e-05,1.344385048e-09,16,100,Methane
21.673,1.472052099e-05,1.352841283e-09,16,100,Methane
21.91,1.469148083e-05,1.339614641e-09,16,100,Methane
22.147,1.471946416e-05,1.346223799e-09,16,100,Methane
22.383,1.474148576e-05,1.342394085e-09,16,100,Methane
22.62,1.482137304e-05,1.340785039e-09,16,100,Methane
22.857,1.472451277e-05,1.350448975e-09,16,100,Methane
23.094,1.471575251e-05,1.343770428e-09,16,100,Methane
23.331,1.472846543e-05,1.342671752e-09,16,100,Methane
23.567,1.47375431e-05,1.341129652e-09,16,100,Methane
