PV MassSpec-24.10.00
EXPORTED RUN DATA
Run Path and Name: C:\Pfeiffer Vacuum\data\005-15-2025\1%oxygeninar.isi
05/15/2025 14:29:43
SensorID:  RGA PrismaPro A 200 47505932
72 Bins
291 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	Analog_1	1_amu	2_amu	3_amu	4_amu	5_amu	6_amu	7_amu	8_amu	9_amu	10_amu	11_amu	12_amu	13_amu	14_amu	15_amu	16_amu	17_amu	18_amu	19_amu	20_amu	21_amu	22_amu	23_amu	24_amu	25_amu	26_amu	27_amu	28_amu	29_amu	30_amu	31_amu	32_amu	33_amu	34_amu	35_amu	36_amu	37_amu	38_amu	39_amu	40_amu	41_amu	42_amu	43_amu	44_amu	45_amu	46_amu	47_amu	48_amu	49_amu	50_amu	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11
9.597	1747312193.455	05/15/2025_14:29:53.455	1	3	3.88154258e-05	6.931493317e-06	0.0120000001	4.777438617e-14	1.137887798e-13	4.999999912e-15	4.999999912e-15	1.295595846e-13	8.106832398e-14	2.650044406e-09	1.267339185e-11	3.730832483e-12	1.200780035e-12	4.999999912e-15	3.451417754e-13	3.244326465e-13	1.018316508e-12	1.052343027e-13	1.339215891e-11	1.330514691e-12	6.554475712e-12	5.564531474e-12	7.839940919e-10	7.41705891e-14	3.369217882e-14	2.920467145e-13	3.252610041e-13	6.67471517e-14	1.394999703e-13	3.50111975e-13	5.348247886e-12	5.832012255e-14	4.135775381e-13	3.50239423e-13	5.650462043e-11	1.021916587e-13	5.526792674e-13	3.538396247e-13	1.754577386e-11	2.193098405e-13	3.637083473e-12	1.204093357e-12	4.462379355e-09	2.635158801e-13	2.97526706e-13	1.430045996e-13	2.338540331e-13	2.935282226e-13	2.710508413e-13	1.107461223e-13	1.937420087e-13	4.206186723e-13	4.632794799e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
18.616	1747312202.474	05/15/2025_14:30:02.474	1	3	3.898945215e-05	6.852252227e-06	0.0120000001	4.161701908e-13	1.457425977e-12	7.999701704e-14	1.412136575e-12	3.529275938e-13	1.365967073e-13	5.251757755e-14	2.910072899e-13	3.437678202e-13	5.399907884e-14	1.414713344e-13	4.085555678e-13	2.712698772e-13	8.131485936e-13	2.364147831e-13	1.309390964e-11	1.184766261e-12	6.473196978e-12	5.73859623e-12	7.842732574e-10	4.66712274e-14	1.010406968e-13	3.642061696e-13	1.545021435e-13	4.999999912e-15	1.960319656e-13	2.806686361e-13	5.146505618e-12	1.228330859e-13	4.637056255e-13	3.119713147e-13	5.715958956e-11	2.424363878e-13	5.549213975e-13	2.497483015e-13	1.773334951e-11	3.190920835e-13	3.533915998e-12	9.407806565e-13	4.472184845e-09	3.624060687e-13	2.303454194e-13	4.374009022e-14	3.47415781e-13	3.123058452e-13	1.563659684e-13	9.587934559e-14	2.892549481e-13	3.03050445e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
27.635	1747312211.493	05/15/2025_14:30:11.493	1	3	3.896112685e-05	6.926183232e-06	0.01400000043	3.655403345e-13	1.298885478e-12	1.287948325e-14	1.486765138e-12	2.158928418e-13	2.651565829e-14	1.211086624e-13	2.54937537e-13	1.683892283e-13	4.999999912e-15	1.318455571e-13	4.068789576e-13	6.274073329e-14	5.794498453e-13	2.063347594e-13	1.29704962e-11	1.011665578e-12	6.354752662e-12	5.821189451e-12	7.864360274e-10	4.999999912e-15	1.074884132e-13	2.612617967e-13	1.291134016e-14	4.999999912e-15	2.119580553e-13	1.769596297e-13	4.741048266e-12	1.088584043e-13	4.123907704e-13	9.111225771e-14	5.693442245e-11	2.337664296e-13	4.609139134e-13	6.523366645e-15	1.769617959e-11	2.972160549e-13	3.336123695e-12	8.953280283e-13	4.512406004e-09	2.4925049e-13	5.547659906e-14	4.999999912e-15	4.042663827e-13	6.262921632e-14	4.999999912e-15	6.047865388e-14	2.458573709e-13	7.857526207e-14	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
36.654	1747312220.512	05/15/2025_14:30:20.512	1	3	3.889860091e-05	6.839129583e-06	0.0120000001	2.391229304e-13	1.006173768e-12	4.999999912e-15	1.4193849e-12	1.145334912e-13	4.999999912e-15	1.301290889e-13	2.398397778e-13	4.999999912e-15	4.999999912e-15	1.980073007e-13	1.713402911e-13	4.999999912e-15	7.85366455e-13	2.500509836e-13	1.305024578e-11	1.01829645e-12	6.436016216e-12	5.553949661e-12	7.914374156e-10	4.999999912e-15	2.262354258e-13	1.190735878e-13	4.999999912e-15	4.013988171e-14	2.273664926e-13	4.999999912e-15	4.644770679e-12	1.968443854e-13	3.37666608e-13	4.999999912e-15	5.588017549e-11	1.92176868e-13	2.406999838e-13	7.992917987e-15	1.754534018e-11	2.009702897e-13	3.124018405e-12	8.142477578e-13	4.532227038e-09	1.794009277e-13	4.999999912e-15	8.295593352e-15	3.696382935e-13	5.698986747e-15	4.999999912e-15	1.639487157e-13	2.732292745e-13	4.999999912e-15	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
45.673	1747312229.531	05/15/2025_14:30:29.531	1	3	3.872127854e-05	6.815575944e-06	0.01000000071	4.327611945e-14	1.089071975e-12	2.006178427e-13	1.206572494e-12	4.999999912e-15	4.999999912e-15	1.959184496e-13	6.865277932e-14	4.999999912e-15	5.154386575e-14	1.806414718e-13	4.999999912e-15	4.999999912e-15	7.916567792e-13	1.570489751e-13	1.291302135e-11	1.036916863e-12	6.542538213e-12	5.436207907e-12	7.856723605e-10	8.784856523e-14	8.673346329e-14	4.999999912e-15	4.999999912e-15	1.355592477e-13	9.057260963e-14	4.999999912e-15	4.827630049e-12	2.239395193e-13	9.608444953e-14	4.999999912e-15	5.5254714e-11	2.018125792e-13	5.312093267e-14	2.618311655e-14	1.725192385e-11	1.601970374e-14	2.940119285e-12	9.003002337e-13	4.466653269e-09	4.999999912e-15	4.999999912e-15	1.44352683e-13	2.427052157e-13	4.999999912e-15	1.776943935e-13	2.264246191e-13	4.999999912e-15	4.999999912e-15	8.047292758e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
54.692	1747312238.550	05/15/2025_14:30:38.550	1	3	3.874675895e-05	6.910277534e-06	0.01400000043	4.999999912e-15	1.199652899e-12	2.378883223e-13	1.087393413e-12	4.999999912e-15	2.902187225e-13	1.885527325e-13	4.999999912e-15	4.999999912e-15	2.026509115e-13	2.045823092e-14	4.999999912e-15	7.318690603e-14	8.739140054e-13	4.999999912e-15	1.274011105e-11	1.028754664e-12	6.253783515e-12	5.40063003e-12	7.885029851e-10	2.057254107e-13	4.999999912e-15	4.999999912e-15	1.30551223e-13	1.024186636e-13	4.999999912e-15	4.999999912e-15	4.727407701e-12	7.312318204e-14	4.999999912e-15	5.094846935e-14	5.542585488e-11	4.999999912e-15	8.137496346e-14	1.749165862e-13	1.736516313e-11	4.999999912e-15	3.148622639e-12	1.080081554e-12	4.436987222e-09	4.999999912e-15	2.929943885e-14	1.529808181e-13	8.019613755e-14	4.999999912e-15	1.05110846e-13	1.775010396e-14	4.999999912e-15	2.901270803e-14	1.652629314e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
63.711	1747312247.569	05/15/2025_14:30:47.569	1	3	3.876863047e-05	6.810354535e-06	0.01400000043	5.509425517e-14	1.269016576e-12	1.240557136e-13	9.198922006e-13	7.000485396e-14	2.322371353e-13	4.999999912e-15	4.999999912e-15	1.371662115e-13	4.23820389e-14	4.999999912e-15	7.100845926e-14	1.868681533e-13	6.722745732e-13	4.999999912e-15	1.274548349e-11	1.108026865e-12	6.108743719e-12	5.247736707e-12	7.830900373e-10	4.999999912e-15	4.999999912e-15	2.603774536e-14	1.811173824e-13	4.999999912e-15	4.999999912e-15	1.939251982e-13	4.725515985e-12	4.999999912e-15	1.007977407e-13	1.954704302e-13	5.55106551e-11	4.999999912e-15	3.016605791e-13	1.598825239e-13	1.697508627e-11	4.999999912e-15	3.322153533e-12	9.859703115e-13	4.444771662e-09	1.89010591e-14	2.107951942e-13	4.999999912e-15	8.200022286e-14	9.769139301e-14	1.289462786e-13	4.999999912e-15	4.999999912e-15	2.502222062e-13	5.579519187e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
72.73	1747312256.588	05/15/2025_14:30:56.588	1	3	3.888167703e-05	6.883841252e-06	0.01400000043	2.674187369e-13	1.290163722e-12	4.999999912e-15	1.024035457e-12	2.160919555e-13	4.999999912e-15	4.999999912e-15	1.108576257e-13	1.81635116e-13	4.999999912e-15	4.999999912e-15	1.701016986e-13	4.621322314e-14	5.841093668e-13	5.550048539e-14	1.289491604e-11	8.302136647e-13	6.145725422e-12	5.438269626e-12	7.829932813e-10	4.999999912e-15	4.999999912e-15	1.752790079e-13	4.999999912e-15	4.999999912e-15	4.999999912e-15	5.573944355e-14	4.568596803e-12	4.999999912e-15	2.667337651e-13	1.769834008e-14	5.610415604e-11	6.29239228e-14	3.640667141e-13	4.999999912e-15	1.728879193e-11	1.600338785e-13	3.27545391e-12	7.81993231e-13	4.450142477e-09	1.389742542e-13	2.430933059e-14	4.999999912e-15	1.521803517e-13	1.531839434e-13	4.999999912e-15	4.999999912e-15	8.925640175e-14	5.145424288e-14	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
81.749	1747312265.607	05/15/2025_14:31:05.607	1	3	3.876171832e-05	6.92087724e-06	0.0120000001	1.3439041e-13	9.243008919e-13	4.999999912e-15	1.017667287e-12	3.973366503e-14	4.999999912e-15	4.999999912e-15	1.50702828e-13	4.999999912e-15	4.999999912e-15	1.919974325e-14	9.309954608e-14	4.999999912e-15	6.221385169e-13	1.467362202e-13	1.253685697e-11	6.50924193e-13	6.175120311e-12	5.41571692e-12	7.778552247e-10	4.999999912e-15	7.785441671e-14	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.769872919e-14	4.999999912e-15	4.487627717e-12	8.540531563e-14	1.987799031e-13	4.999999912e-15	5.622424054e-11	1.178549446e-13	1.04298433e-13	4.999999912e-15	1.711294127e-11	1.036452825e-13	2.926827617e-12	1.110508061e-12	4.437190171e-09	4.999999912e-15	4.999999912e-15	4.999999912e-15	2.129576897e-13	4.999999912e-15	4.999999912e-15	8.892965032e-15	7.170539119e-14	4.999999912e-15	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
90.768	1747312274.626	05/15/2025_14:31:14.626	1	3	3.869023567e-05	6.918217878e-06	0.0120000001	4.999999912e-15	9.865656469e-13	1.224209129e-13	1.065818115e-12	4.999999912e-15	2.922975176e-14	8.646662759e-14	4.999999912e-15	4.999999912e-15	4.999999912e-15	1.449620182e-13	4.999999912e-15	4.999999912e-15	7.537471623e-13	4.999999912e-15	1.27813489e-11	8.841670885e-13	6.123580809e-12	5.281212533e-12	7.814959235e-10	4.999999912e-15	3.937724712e-14	4.999999912e-15	4.999999912e-15	5.47816458e-14	4.999999912e-15	4.999999912e-15	4.435164475e-12	1.187888356e-13	4.999999912e-15	4.999999912e-15	5.595647903e-11	7.686078607e-14	2.054785378e-14	4.999999912e-15	1.727329044e-11	4.999999912e-15	2.790794288e-12	9.646140223e-13	4.46772086e-09	4.999999912e-15	4.999999912e-15	6.782840619e-14	1.163196736e-13	4.999999912e-15	4.999999912e-15	6.42600529e-14	4.999999912e-15	4.999999912e-15	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
