PV MassSpec-24.10.00
EXPORTED RUN DATA
Run Path and Name: C:\Pfeiffer Vacuum\data\005-28-2025\1%N2O-AR.isi
05/28/2025 14:15:21
SensorID:  RGA PrismaPro A 200 47505932
72 Bins
397 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	Analog_1	1_amu	2_amu	3_amu	4_amu	5_amu	6_amu	7_amu	8_amu	9_amu	10_amu	11_amu	12_amu	13_amu	14_amu	15_amu	16_amu	17_amu	18_amu	19_amu	20_amu	21_amu	22_amu	23_amu	24_amu	25_amu	26_amu	27_amu	28_amu	29_amu	30_amu	31_amu	32_amu	33_amu	34_amu	35_amu	36_amu	37_amu	38_amu	39_amu	40_amu	41_amu	42_amu	43_amu	44_amu	45_amu	46_amu	47_amu	48_amu	49_amu	50_amu	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11
16.68	1748434538.091	05/28/2025_14:15:38.091	1	3	2.465681428e-05	3.695461828e-06	0.0120000001	4.999999912e-15	4.999999912e-15	2.333362995e-14	1.079543898e-13	4.999999912e-15	4.999999912e-15	1.142945737e-13	2.77303442e-14	4.999999912e-15	4.999999912e-15	1.483531451e-13	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.999999912e-15	6.194822894e-14	1.183726782e-13	4.999999912e-15	3.533866311e-09	1.380695818e-11	3.265477732e-12	9.770056942e-13	1.628518098e-09	1.165344644e-11	4.702370221e-13	4.999999912e-15	3.670288795e-10	4.479985718e-13	1.263094447e-12	6.782644108e-14	2.733089362e-13	4.999999912e-15	4.999999912e-15	1.503922041e-13	1.069415043e-11	4.999999912e-15	4.999999912e-15	1.530684623e-13	6.493551356e-13	4.999999912e-15	8.273701277e-14	1.079543898e-13	4.999999912e-15	7.32267369e-14	1.840525345e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
25.699	1748434547.110	05/28/2025_14:15:47.110	1	3	2.44429375e-05	3.788682079e-06	0.0120000001	1.905640156e-14	7.314668619e-13	1.448564847e-13	4.999999912e-15	4.336575248e-14	2.390193891e-13	1.820373686e-13	4.999999912e-15	1.789310074e-13	1.501134286e-13	4.999999912e-15	1.754263781e-13	2.733487536e-13	2.762800821e-10	1.331219748e-12	9.581312133e-11	6.537052583e-12	2.347047556e-11	3.064145075e-12	2.167694193e-12	6.722905923e-14	4.999999912e-15	3.699370319e-14	1.751236959e-13	5.419822645e-14	4.999999912e-15	2.396406641e-13	1.579551823e-09	1.090419768e-11	5.248215057e-13	1.880748839e-13	3.543295379e-10	1.785008908e-13	1.490138416e-12	1.301689334e-13	4.999999912e-15	5.829226533e-14	5.362114832e-13	5.032720795e-14	1.011086267e-11	8.405125554e-14	1.499541458e-13	4.999999912e-15	7.016457727e-13	1.333549563e-13	3.66910346e-14	4.999999912e-15	2.137542395e-13	2.192979007e-13	1.796319305e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
34.718	1748434556.129	05/28/2025_14:15:56.129	1	3	2.430528366e-05	3.733902304e-06	0.0120000001	2.728907866e-13	5.31452432e-13	4.999999912e-15	1.349837939e-13	1.479509196e-13	4.999999912e-15	1.494802004e-13	2.500469992e-13	2.896890965e-14	4.999999912e-15	1.511687775e-13	2.753599486e-13	7.131114818e-14	2.722085057e-10	1.689316764e-12	9.45050288e-11	5.823451096e-12	2.274570809e-11	3.361739489e-12	1.837801179e-12	2.127466565e-14	2.891235699e-13	7.746017369e-14	4.999999912e-15	4.999999912e-15	2.582350837e-13	7.739644293e-14	1.550018891e-09	1.082553838e-11	6.149898841e-13	4.999999912e-15	3.458478781e-10	4.263136881e-13	1.460480716e-12	4.999999912e-15	2.024796753e-13	1.428373614e-13	4.999999912e-15	4.999999912e-15	1.037266106e-11	1.880549854e-14	4.999999912e-15	1.431718784e-13	7.693845561e-13	4.999999912e-15	4.999999912e-15	1.982581986e-13	6.857916707e-15	4.999999912e-15	6.084506678e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
43.737	1748434565.148	05/28/2025_14:16:05.148	1	3	3.446358096e-05	5.193779089e-06	0.0120000001	4.999999912e-15	5.203132846e-13	3.024053176e-13	8.319503398e-15	4.999999912e-15	1.365409657e-13	2.536910027e-13	4.999999912e-15	4.999999912e-15	2.30687946e-13	8.20759205e-14	1.104355289e-14	2.558734203e-13	2.698599399e-10	1.307786453e-12	9.378401528e-11	6.090690452e-12	2.256408428e-11	2.971797938e-12	1.920872749e-12	1.986843307e-13	4.999999912e-15	4.999999912e-15	1.773061407e-13	1.251031478e-13	4.999999912e-15	1.388986311e-13	1.520626847e-09	1.052592215e-11	4.614993283e-13	4.595080826e-13	3.43742923e-10	1.912131071e-13	1.288192426e-12	2.366936128e-13	9.940788156e-14	4.999999912e-15	9.195258216e-14	2.28393991e-13	1.145674874e-11	4.999999912e-15	1.642593667e-13	8.72054165e-14	8.529499264e-13	2.849299572e-13	1.965815613e-13	4.999999912e-15	4.999999912e-15	1.883456769e-13	1.051586525e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
52.756	1748434574.167	05/28/2025_14:16:14.167	1	3	3.698925502e-05	5.629106909e-06	0.0120000001	4.999999912e-15	8.377924548e-13	4.999999912e-15	4.999999912e-15	2.020854052e-13	5.608594101e-14	1.201887033e-13	1.725350548e-13	2.171553004e-13	4.999999912e-15	4.999999912e-15	4.408937137e-13	4.081573675e-13	4.283564614e-10	3.67018178e-12	1.518496856e-10	7.441492735e-12	2.758647304e-11	3.457116971e-12	1.907419752e-12	4.999999912e-15	7.042303752e-14	1.871429715e-13	4.45366129e-14	4.999999912e-15	1.466486166e-13	3.937405957e-13	2.527458909e-09	1.750161301e-11	9.680052983e-13	3.940711689e-14	5.720255936e-10	5.632369571e-13	2.443483783e-12	4.999999912e-15	4.999999912e-15	1.187231465e-13	6.36686816e-14	4.999999912e-15	8.079636786e-12	1.837817143e-13	4.999999912e-15	4.999999912e-15	9.638315536e-13	1.499939496e-13	4.999999912e-15	8.008865923e-15	1.491655784e-13	4.999999912e-15	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
61.775	1748434583.186	05/28/2025_14:16:23.186	1	3	3.836452379e-05	5.766695267e-06	0.01000000071	8.579560809e-14	5.28270407e-13	1.737457563e-13	1.948372155e-13	4.999999912e-15	4.999999912e-15	1.776486131e-13	1.26481101e-13	4.999999912e-15	6.570773385e-14	1.399261159e-13	1.933079212e-13	2.700432651e-13	4.346361882e-10	4.188293375e-12	1.5151147e-10	6.973800443e-12	2.537229975e-11	3.224027599e-12	9.607091598e-13	3.980536468e-14	1.250155307e-13	4.999999912e-15	4.999999912e-15	2.292303446e-13	4.999999912e-15	1.020761912e-13	2.529564114e-09	1.764706957e-11	6.466470154e-13	1.911215496e-14	5.71440284e-10	4.269708231e-13	1.982243579e-12	3.01676544e-14	2.301542745e-13	4.999999912e-15	4.999999912e-15	1.525268356e-13	1.954477379e-12	4.999999912e-15	2.63125652e-14	2.040289053e-13	3.839276445e-13	4.999999912e-15	6.720516613e-14	7.880228723e-14	4.999999912e-15	1.129046977e-14	1.635345505e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
70.794	1748434592.205	05/28/2025_14:16:32.205	1	3	5.335838796e-05	7.18026422e-06	0.0120000001	4.999999912e-15	8.526453198e-13	9.488173729e-14	4.999999912e-15	5.854516226e-14	1.5087607e-13	8.138894289e-14	4.999999912e-15	2.203632242e-13	9.120189413e-14	4.999999912e-15	1.492512169e-13	4.692553312e-13	4.350783622e-10	3.941031963e-12	1.481159362e-10	4.219538347e-12	1.48995781e-11	3.525909382e-12	1.009329911e-10	4.575327747e-14	4.999999912e-15	1.147465911e-13	1.571684541e-13	4.999999912e-15	4.999999912e-15	2.713236536e-13	1.9235602e-09	1.261969262e-11	4.879809664e-12	2.915708311e-13	3.903195822e-10	2.189135917e-13	1.575904338e-12	9.093107398e-14	6.495091357e-12	2.155543505e-14	1.488193032e-12	2.443380513e-13	1.820636752e-09	1.058894522e-13	4.745779914e-14	4.999999912e-15	1.5307677e-11	3.38421294e-13	3.12090848e-14	4.999999912e-15	1.16578554e-13	1.94508648e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
79.813	1748434601.224	05/28/2025_14:16:41.224	1	3	5.730644261e-05	7.613936305e-06	0.01400000043	3.372165557e-13	4.769714896e-13	4.999999912e-15	1.878558344e-13	9.740466219e-14	4.999999912e-15	5.241803763e-14	1.758126793e-13	3.669501904e-14	4.999999912e-15	1.445259385e-13	2.220896535e-13	4.999999912e-15	8.013344155e-11	8.061990745e-13	2.848263292e-11	3.418546479e-12	1.432450773e-11	4.348641672e-12	5.404511283e-10	4.999999912e-15	2.029097918e-13	1.204077528e-13	4.999999912e-15	4.999999912e-15	8.945554936e-14	4.999999912e-15	2.782057085e-10	1.930084564e-12	1.252762304e-11	4.999999912e-15	5.531605729e-11	2.480238779e-13	1.877761726e-13	4.999999912e-15	1.212350879e-11	2.726358906e-13	2.038472906e-12	5.549015566e-13	2.971825008e-09	1.193963073e-14	4.999999912e-15	9.511073434e-14	2.61240387e-11	1.377078518e-13	6.587897681e-14	1.396035251e-13	1.085716871e-13	4.999999912e-15	5.947506891e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
88.832	1748434610.243	05/28/2025_14:16:50.243	1	3	5.744002556e-05	7.570290109e-06	0.0120000001	4.999999912e-15	5.861146529e-13	2.430914899e-13	4.579708262e-14	4.999999912e-15	1.23440456e-13	2.311439614e-13	4.999999912e-15	6.886388703e-14	1.450576177e-13	1.076536999e-13	4.999999912e-15	3.730632949e-14	2.009841599e-11	8.579759353e-14	8.746488776e-12	2.975264783e-12	1.185459717e-11	4.138227087e-12	5.985653639e-10	1.891680985e-13	4.999999912e-15	4.999999912e-15	4.999999912e-15	2.102914468e-13	4.999999912e-15	1.017735158e-14	6.758640175e-11	4.788571883e-13	1.321606539e-11	2.089373596e-13	1.457170148e-11	4.999999912e-15	1.284584282e-13	2.26587927e-13	1.281693501e-11	4.999999912e-15	2.374412949e-12	9.277038773e-13	3.057294862e-09	4.999999912e-15	1.550457896e-13	1.187092146e-13	2.716021678e-11	2.957723855e-13	2.257117561e-13	4.999999912e-15	4.999999912e-15	1.622143311e-13	1.480843307e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
97.851	1748434619.262	05/28/2025_14:16:59.262	1	3	5.734556544e-05	7.657834431e-06	0.01600000076	1.462145428e-13	6.581605378e-13	4.999999912e-15	3.825616514e-14	1.763702438e-13	5.627312513e-14	4.999999912e-15	7.636099598e-14	2.040249209e-13	4.999999912e-15	4.999999912e-15	1.315906883e-13	1.604401291e-13	1.185522947e-11	8.059841043e-14	6.028041781e-12	2.326409681e-12	1.020420033e-11	4.361369772e-12	6.036478539e-10	4.999999912e-15	4.999999912e-15	1.016739454e-13	4.999999912e-15	4.999999912e-15	9.955523819e-14	1.866770085e-13	2.906142167e-11	1.505793781e-13	1.347434924e-11	8.626953318e-14	6.172750679e-12	8.583941663e-14	2.273306868e-13	4.999999912e-15	1.268580813e-11	2.108270427e-13	2.391069981e-12	5.759292782e-13	3.086008338e-09	1.045891482e-13	9.183710785e-15	4.999999912e-15	2.792415604e-11	3.091795754e-13	4.999999912e-15	8.578366831e-15	1.592453654e-13	4.999999912e-15	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
