PV MassSpec-24.10.00
EXPORTED RUN DATA
Run Path and Name: C:\Pfeiffer Vacuum\data\005-16-2025\5%methaneinar.isi
05/16/2025 11:22:37
SensorID:  RGA PrismaPro A 200 47505932
72 Bins
284 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	Analog_1	1_amu	2_amu	3_amu	4_amu	5_amu	6_amu	7_amu	8_amu	9_amu	10_amu	11_amu	12_amu	13_amu	14_amu	15_amu	16_amu	17_amu	18_amu	19_amu	20_amu	21_amu	22_amu	23_amu	24_amu	25_amu	26_amu	27_amu	28_amu	29_amu	30_amu	31_amu	32_amu	33_amu	34_amu	35_amu	36_amu	37_amu	38_amu	39_amu	40_amu	41_amu	42_amu	43_amu	44_amu	45_amu	46_amu	47_amu	48_amu	49_amu	50_amu	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11
16.486	1747387374.216	05/16/2025_11:22:54.216	1	3	4.37265262e-05	6.745403425e-06	0.01000000071	4.999999912e-15	4.999999912e-15	1.725390257e-13	4.999999912e-15	4.999999912e-15	1.339244335e-13	6.717726825e-14	4.999999912e-15	1.276000247e-14	1.947137384e-13	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.088764743e-11	1.539593592e-10	3.450519037e-10	9.525744776e-12	2.016760196e-11	5.07308735e-12	9.190309624e-10	3.780374722e-13	1.289701717e-13	1.481818818e-13	4.591376107e-13	2.524285306e-13	4.331556815e-13	1.81762564e-13	6.842472422e-11	5.893185245e-13	7.065323261e-13	3.766675014e-13	1.083696674e-11	6.990130588e-14	2.778370524e-13	4.120641816e-13	1.965795061e-11	1.291613301e-13	3.816201695e-12	1.293254349e-12	4.802180875e-09	1.280621524e-13	3.637800239e-13	2.307795068e-13	4.743668566e-13	2.698560776e-13	3.691006647e-13	1.222954572e-13	9.755598293e-14	3.34659763e-13	3.24400771e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
25.505	1747387383.235	05/16/2025_11:23:03.235	1	3	4.375096614e-05	6.868032415e-06	0.0120000001	2.873772184e-13	1.314754989e-11	2.515981672e-13	2.040308569e-13	3.6948103e-13	2.2794196e-13	8.410898253e-14	2.258869768e-13	3.238412143e-13	1.233129809e-13	1.128787615e-13	9.784989659e-12	2.924502307e-11	6.716275452e-11	3.177333119e-10	3.873826537e-10	6.977625509e-12	1.344521976e-11	5.124093858e-12	8.882917735e-10	4.031710133e-14	2.032502855e-13	3.71265166e-13	1.29270848e-13	1.773957229e-13	3.082934298e-13	3.388951988e-13	6.516893275e-11	6.748612086e-13	8.742425187e-13	2.408771967e-13	9.899384264e-12	2.335493452e-13	3.676330887e-13	1.077014793e-13	1.909342996e-11	3.318222433e-13	3.64068194e-12	9.091931851e-13	4.736515624e-09	2.989902705e-13	1.463320025e-13	1.197765032e-13	7.182708204e-13	3.13422953e-13	4.999999912e-15	1.906177039e-13	3.203843983e-13	1.336197727e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
34.524	1747387392.254	05/16/2025_11:23:12.254	1	3	4.340864325e-05	6.92087724e-06	0.01400000043	2.502042898e-13	1.255941705e-11	2.819052229e-13	3.811816585e-13	2.512774229e-14	4.999999912e-15	2.127048266e-13	2.855213353e-13	4.999999912e-15	8.932608884e-14	2.844858951e-13	9.547479127e-12	2.863751944e-11	6.490692706e-11	3.125273651e-10	3.812759553e-10	6.27157961e-12	1.218437504e-11	4.876308992e-12	8.838664245e-10	1.61441715e-13	3.120927724e-13	5.651006057e-14	4.411643712e-14	2.567037837e-13	2.12242821e-13	3.901879972e-14	6.086466747e-11	7.650017772e-13	5.664967193e-13	4.999999912e-15	9.18463916e-12	2.044211426e-13	5.276648666e-14	1.806852736e-13	1.906696502e-11	9.97762528e-14	3.298638272e-12	1.044400027e-12	4.673485599e-09	4.999999912e-15	1.724653406e-13	2.314386204e-13	4.045989075e-13	2.559550336e-13	8.085126671e-14	2.624067684e-13	4.69201365e-14	1.663699086e-14	2.225496263e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
43.543	1747387401.273	05/16/2025_11:23:21.273	1	3	4.310255099e-05	6.894400485e-06	0.0120000001	4.158553656e-14	1.262933681e-11	3.590407594e-13	4.894524998e-14	3.954648431e-14	2.316795573e-13	2.14857361e-13	2.667495131e-14	1.017695043e-13	3.353049175e-13	3.961020829e-14	9.301345284e-12	2.828557874e-11	6.476482545e-11	3.07807696e-10	3.739094034e-10	6.395088018e-12	1.080677301e-11	4.537764262e-12	8.622613179e-10	2.812859266e-13	4.999999912e-15	7.569190771e-14	3.573044096e-13	3.018039106e-13	4.999999912e-15	2.728110977e-13	5.744125661e-11	4.028963849e-13	5.611620652e-13	2.838188126e-13	8.474189232e-12	4.999999912e-15	1.812289061e-13	2.985063639e-13	1.868782906e-11	4.674689455e-14	3.607939468e-12	1.015202137e-12	4.598182723e-09	1.777880008e-13	2.556065711e-13	4.888152939e-14	2.492186145e-13	2.100146093e-13	2.518311352e-13	4.999999912e-15	9.546117559e-14	2.685099864e-13	1.450994002e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
52.562	1747387410.292	05/16/2025_11:23:30.292	1	3	4.286916374e-05	6.904983366e-06	0.0120000001	3.264617309e-13	1.275266438e-11	1.242926931e-13	2.258949457e-13	2.787829104e-13	1.380881629e-13	4.999999912e-15	2.345131467e-13	2.853142527e-13	4.999999912e-15	5.975980751e-14	9.435888702e-12	2.809113185e-11	6.163487776e-11	3.020297901e-10	3.688326033e-10	6.01137716e-12	1.036969642e-11	4.803539944e-12	8.457955447e-10	4.999999912e-15	1.786143526e-13	1.976667799e-13	2.6465868e-14	1.701931104e-14	2.248276299e-13	2.269303858e-13	5.422227597e-11	4.694344956e-13	7.290794487e-13	7.409690401e-14	7.899158758e-12	2.222947304e-13	2.465403641e-13	5.103010299e-14	1.83001999e-11	2.905234105e-13	3.363346494e-12	8.25600005e-13	4.489244532e-09	3.271626947e-13	6.3869774e-14	5.192219132e-14	4.725249055e-13	2.008846648e-13	4.999999912e-15	1.034401717e-13	2.970229043e-13	6.050851687e-14	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
61.581	1747387419.311	05/16/2025_11:23:39.311	1	3	4.272588558e-05	6.897043022e-06	0.0120000001	3.720935777e-13	1.205679914e-11	3.118617831e-13	3.577564135e-13	4.999999912e-15	2.49923373e-14	2.032024993e-13	1.112061018e-13	4.999999912e-15	1.533869094e-14	2.588941702e-13	8.976074224e-12	2.750655433e-11	6.089159038e-11	3.005168892e-10	3.643446655e-10	5.815795762e-12	1.001156363e-11	4.581976291e-12	8.408092e-10	8.347177658e-14	2.287384691e-13	4.999999912e-15	2.612337701e-14	2.691372515e-13	1.215128801e-13	4.999999912e-15	5.228962055e-11	6.048483654e-13	3.565457662e-13	4.999999912e-15	7.713532937e-12	2.295190676e-13	4.999999912e-15	9.331657625e-14	1.823983152e-11	2.397281118e-14	3.205184382e-12	1.089394525e-12	4.496679473e-09	4.385358924e-14	4.999999912e-15	1.875591425e-13	4.034599803e-13	4.999999912e-15	1.356588182e-13	2.066752531e-13	4.999999912e-15	4.999999912e-15	2.300925292e-13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
70.6	1747387428.330	05/16/2025_11:23:48.330	1	3	4.269192505e-05	6.805137673e-06	0.01400000043	4.999999912e-15	1.234044551e-11	4.017832616e-13	2.017746322e-14	7.70638978e-14	2.979826672e-13	6.525355478e-15	4.999999912e-15	1.104693322e-13	2.095705608e-13	4.999999912e-15	8.739684323e-12	2.766008429e-11	6.129424746e-11	2.96667052e-10	3.623557288e-10	5.985430467e-12	9.792934692e-12	4.582832377e-12	8.368890581e-10	1.564117759e-13	4.999999912e-15	2.414406091e-14	2.615027335e-13	1.864816895e-14	4.999999912e-15	1.895464037e-13	5.041921047e-11	3.146296429e-13	3.797678589e-13	1.873480348e-13	7.379188406e-12	4.999999912e-15	5.718311295e-14	1.57399457e-13	1.831135243e-11	4.999999912e-15	3.350972928e-12	9.835669605e-13	4.519745911e-09	4.520367167e-14	2.716502153e-13	4.999999912e-15	1.137668789e-13	1.49609627e-13	4.999999912e-15	4.999999912e-15	4.999999912e-15	1.505654054e-13	1.229205743e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
79.619	1747387437.349	05/16/2025_11:23:57.349	1	3	4.25979415e-05	6.891759313e-06	0.0120000001	1.828079653e-13	1.211686741e-11	4.999999912e-15	6.059216984e-14	2.026728259e-13	4.999999912e-15	4.999999912e-15	5.163943817e-14	1.18338824e-13	4.999999912e-15	4.999999912e-15	9.054606023e-12	2.706835971e-11	5.948627702e-11	2.951956735e-10	3.630654388e-10	5.547798766e-12	9.257953779e-12	4.757601865e-12	8.345906188e-10	4.999999912e-15	4.999999912e-15	1.643290403e-13	4.999999912e-15	4.999999912e-15	6.731467055e-14	1.255392275e-13	4.784495716e-11	2.677951177e-13	7.337668884e-13	4.999999912e-15	6.622348503e-12	7.578948591e-14	1.564914376e-13	4.999999912e-15	1.78523446e-11	7.843388211e-14	3.324273582e-12	7.630144888e-13	4.417673782e-09	1.477458021e-13	4.999999912e-15	4.999999912e-15	2.662020994e-13	2.764770292e-13	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
88.638	1747387446.368	05/16/2025_11:24:06.368	1	3	4.252424333e-05	6.912925983e-06	0.01400000043	4.648405684e-14	1.187330182e-11	1.300375009e-13	1.494244182e-13	4.999999912e-15	4.999999912e-15	1.499023345e-13	9.253799712e-14	4.999999912e-15	4.999999912e-15	1.261027415e-13	8.841483101e-12	2.670982879e-11	5.979487044e-11	2.937419474e-10	3.57244595e-10	5.418882357e-12	9.246680678e-12	4.493964229e-12	8.204077973e-10	4.250152476e-14	6.68108689e-14	4.999999912e-15	1.175960913e-13	1.03705022e-13	5.209145561e-14	4.999999912e-15	4.616057189e-11	3.96723534e-13	2.658576213e-13	4.999999912e-15	6.573640503e-12	8.503493862e-14	4.999999912e-15	4.999999912e-15	1.799341232e-11	4.999999912e-15	3.017768544e-12	8.702938543e-13	4.408233778e-09	4.999999912e-15	4.999999912e-15	1.0720957e-14	1.372856906e-13	4.999999912e-15	4.999999912e-15	1.722522678e-13	4.999999912e-15	4.999999912e-15	8.654828156e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
97.657	1747387455.387	05/16/2025_11:24:15.387	1	3	4.223706856e-05	6.92087724e-06	0.01400000043	4.999999912e-15	1.216393826e-11	2.86144616e-13	4.999999912e-15	1.380742309e-13	1.184324177e-13	1.020403109e-13	4.999999912e-15	4.999999912e-15	1.436816432e-13	4.999999912e-15	8.923100973e-12	2.661505218e-11	5.756696161e-11	2.908621399e-10	3.543094429e-10	5.388623141e-12	8.850666727e-12	4.24495248e-12	8.19811663e-10	1.332792654e-13	4.999999912e-15	4.999999912e-15	1.17731481e-13	4.999999912e-15	4.999999912e-15	3.234607406e-14	4.482614974e-11	1.791261367e-13	2.322689838e-13	6.454084771e-14	6.088273549e-12	4.999999912e-15	4.999999912e-15	1.200413467e-13	1.76533909e-11	4.999999912e-15	3.241546788e-12	8.722613018e-13	4.384626884e-09	4.999999912e-15	1.023907792e-13	4.999999912e-15	4.999999912e-15	4.999999912e-15	1.055290024e-13	4.999999912e-15	4.999999912e-15	8.348172414e-14	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
