PV MassSpec-24.10.00
EXPORTED RUN DATA
Run Path and Name: C:\Pfeiffer Vacuum\data\006-24-2026\exsample.isi
06/24/2026 13:25:54
SensorID:  RGA PrismaPro A 200 47505932
38 Bins
250 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	12_amu_(Methane_/_CH4)	13_amu_(Methane_/_CH4)	14_amu_(Nitrogen_/_N2)	15_amu_(Methane_/_CH4)	16_amu_(Oxygen_/_O2)	17_amu_(Water_/_H2O)	18_amu_(Water_/_H2O)	22_amu_(Carbon_dioxide_/_CO2)	28_amu_(Nitrogen_/_N2)	29_amu_(Nitrogen_/_N2)	32_amu_(Oxygen_/_O2)	44_amu_(Carbon_dioxide_/_CO2)	45_amu_(Carbon_dioxide_/_CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_CO2	Sig:_MCD_N2	Sig:_MCD_O2
3.445	1782300358.325	06/24/2026_13:25:58.325	1	3	2.357179619e-05	3.644821845e-06	1.014548959e-13	7.725267366e-13	6.648800954e-11	5.034703557e-12	4.393636149e-11	5.547530317e-12	1.963074321e-11	4.054611532e-14	8.590767542e-10	6.003055258e-12	1.967135344e-10	3.97747048e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4.10451186e-08	0.04352194457	78.47289662	21.48358144
5.311	1782300360.191	06/24/2026_13:26:00.191	1	3	2.248671444e-05	3.611448165e-06	2.453287106e-14	6.141551297e-15	1.293647967e-10	4.16457423e-13	4.544788504e-11	5.182005866e-12	1.926652587e-11	8.4434067e-14	8.483224123e-10	5.938084659e-12	1.953774087e-10	4.443232078e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9.172256003e-08	0.04878744801	78.52475261	21.42645994
7.178	1782300362.058	06/24/2026_13:26:02.058	1	3	2.242395749e-05	3.653211252e-06	4.183645821e-14	1.015146626e-14	1.290052787e-10	4.417101179e-13	4.529873004e-11	5.184825225e-12	1.943641949e-11	7.533349758e-14	8.721202649e-10	6.199729098e-12	2.050606213e-10	4.846139223e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8.121412762e-08	0.05162786415	78.2019218	21.74645034
9.044	1782300363.924	06/24/2026_13:26:03.924	1	3	2.374732503e-05	3.838382327e-06	6.464389435e-14	3.600155655e-14	1.431075813e-10	4.643782104e-13	5.063197778e-11	5.512726126e-12	2.029082111e-11	1.416221741e-13	9.640305221e-10	6.821034189e-12	2.239197994e-10	5.093369845e-13	1.86058749e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.57757698e-07	0.0492932024	78.38987216	21.56083463
10.911	1782300365.791	06/24/2026_13:26:05.791	1	3	2.535198837e-05	4.114122476e-06	4.384264897e-14	6.094362753e-14	1.500444213e-10	5.287910951e-13	5.284132854e-11	5.349529847e-12	1.989943106e-11	1.202912553e-13	9.858275307e-10	7.001665307e-12	2.28376193e-10	4.947086577e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.331268746e-07	0.04672943544	78.42586697	21.52740359
12.777	1782300367.657	06/24/2026_13:26:07.657	1	3	2.57827669e-05	4.136256848e-06	5.517244647e-14	8.015330478e-15	1.50147686e-10	5.041267967e-13	5.281484278e-11	4.955227201e-12	1.833637409e-11	1.016923565e-13	9.852776373e-10	6.984233938e-12	2.28747285e-10	4.96540092e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.116507162e-07	0.04690826388	78.39104872	21.56204301
14.643	1782300369.523	06/24/2026_13:26:09.523	1	3	2.59035005e-05	4.222759344e-06	4.999999912e-15	5.449095087e-15	1.510103431e-10	4.586169769e-13	5.280569038e-11	4.367336787e-12	1.625796199e-11	5.334298067e-14	9.881688801e-10	6.97392491e-12	2.276153294e-10	4.861959902e-13	1.767943769e-14	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5.58216659e-08	0.04592717802	78.52227582	21.431797
16.51	1782300371.390	06/24/2026_13:26:11.390	1	3	2.613011202e-05	4.23085794e-06	6.223895097e-14	2.345310564e-14	1.50320964e-10	4.755854998e-13	5.248721596e-11	3.932511435e-12	1.444411864e-11	8.860726958e-14	9.790365185e-10	6.805558721e-12	2.271751398e-10	5.222528139e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9.65413593e-08	0.04967481574	78.40057511	21.54975007
18.376	1782300373.256	06/24/2026_13:26:13.256	1	3	2.605369264e-05	4.193724635e-06	5.617157266e-14	4.999999912e-15	1.495966545e-10	4.936243471e-13	5.237150644e-11	3.629801537e-12	1.348881857e-11	7.725506975e-14	9.808128754e-10	6.901886181e-12	2.254969544e-10	4.626801329e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8.343296804e-08	0.04396649768	78.55411973	21.40191377
20.243	1782300375.123	06/24/2026_13:26:15.123	1	3	2.597882849e-05	4.195331712e-06	4.967456568e-14	5.062639354e-14	1.49343149e-10	4.463343757e-13	5.234590886e-11	3.315128554e-12	1.212208285e-11	6.290452236e-14	9.778499122e-10	7.004681557e-12	2.271721006e-10	4.741960947e-13	4.999999912e-15	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6.686238324e-08	0.04511035159	78.38412037	21.57076928
