PV MassSpec-24.10.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXPORTED RUN DATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Run Path and Name: C:\Pfeiffer Vacuum\data\007-30-2026\400c-100h-ch4.isi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/30/2026 12:18:36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SensorID:  RGA PrismaPro A 200 47505932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39 Bins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4157 TimePoints;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time Relative (sec);Time Absolute (UTC);Time Absolute (Date_Time);Step;Ionizer_State;Pressure_(mBar);External_Pressure_(mBar);12_amu_(Methane_/_CH4);13_amu_(Methane_/_CH4);14_amu_(Nitrogen_/_N2);15_amu_(Methane_/_CH4);16_amu_(Oxygen_/_O2);17_amu_(Water_/_H2O);18_amu_(Water_/_H2O);22_amu_(Carbon_dioxide_/_CO2);28_amu_(Nitrogen_/_N2);29_amu_(Nitrogen_/_N2);32_amu_(Oxygen_/_O2);44_amu_(Carbon_dioxide_/_CO2);45_amu_(Carbon_dioxide_/_CO2);Periph:_Digital_In_0;Periph:_Digital_In_1;Periph:_Digital_In_13;Periph:_Digital_In_14;Periph:_Digital_In_15;Periph:_Digital_In_16;Periph:_Digital_In_17;Periph:_Digital_Out_2;Periph:_Digital_Out_3;Periph:_Digital_Out_4;Periph:_Digital_Out_5;Periph:_Digital_Out_6;Periph:_Digital_Out_7;Periph:_Digital_Out_8;Periph:_Digital_Out_9;Periph:_Digital_Out_10;Periph:_Digital_Out_11;Sig:_MCD;Sig:_MCD_CH4;Sig:_MCD_CO2;Sig:_MCD_N2;Sig:_MCD_O2
3,653;1785406720,051;07/30/2026_12:18:40.051;1;3;3,34×10^-05;5,75×10^-06;4,76×10^-13;1,51×10^-12;2,24×10^-10;1,65×10^-11;9,57×10^-11;1,21×10^-12;3,70×10^-12;5,00×10^-15;1,43×10^-09;9,75×10^-12;3,32×10^-10;1,03×10^-13;1,77×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9282385755;0,006418404374;77,46710572;21,5982373
5,519;1785406721,917;07/30/2026_12:18:41.917;1;3;3,16×10^-05;5,71×10^-06;4,39×10^-13;1,45×10^-12;2,24×10^-10;1,65×10^-11;9,59×10^-11;1,18×10^-12;3,64×10^-12;5,00×10^-15;1,42×10^-09;9,80×10^-12;3,31×10^-10;9,72×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9303443873;0,006009355879;77,44777418;21,61587208
7,386;1785406723,784;07/30/2026_12:18:43.784;1;3;3,15×10^-05;5,77×10^-06;4,49×10^-13;1,47×10^-12;2,24×10^-10;1,65×10^-11;9,60×10^-11;1,21×10^-12;3,64×10^-12;5,00×10^-15;1,43×10^-09;9,72×10^-12;3,32×10^-10;9,20×10^-14;4,65×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9255882297;0,005804871135;77,43982979;21,62877711
9,252;1785406725,65;07/30/2026_12:18:45.650;1;3;3,16×10^-05;5,75×10^-06;4,56×10^-13;1,51×10^-12;2,25×10^-10;1,65×10^-11;9,59×10^-11;1,22×10^-12;3,66×10^-12;5,00×10^-15;1,43×10^-09;9,76×10^-12;3,31×10^-10;6,06×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9245312608;0,003614509833;77,5353213;21,53653293
11,119;1785406727,517;07/30/2026_12:18:47.517;1;3;3,15×10^-05;5,72×10^-06;4,21×10^-13;1,44×10^-12;2,24×10^-10;1,65×10^-11;9,61×10^-11;1,26×10^-12;3,66×10^-12;5,00×10^-15;1,43×10^-09;9,71×10^-12;3,32×10^-10;6,47×10^-14;7,56×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9250231976;0,003884585612;77,48639235;21,58469986
12,985;1785406729,383;07/30/2026_12:18:49.383;1;3;3,15×10^-05;5,77×10^-06;4,47×10^-13;1,47×10^-12;2,24×10^-10;1,65×10^-11;9,56×10^-11;1,24×10^-12;3,66×10^-12;5,00×10^-15;1,43×10^-09;9,61×10^-12;3,30×10^-10;8,58×10^-14;4,07×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9270637041;0,005380242566;77,54735192;21,52020413
14,851;1785406731,249;07/30/2026_12:18:51.249;1;3;3,16×10^-05;5,74×10^-06;4,54×10^-13;1,41×10^-12;2,23×10^-10;1,63×10^-11;9,54×10^-11;1,21×10^-12;3,58×10^-12;5,00×10^-15;1,41×10^-09;9,63×10^-12;3,29×10^-10;1,12×10^-13;1,11×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9286354672;0,00706699641;77,41247966;21,65181787
16,718;1785406733,116;07/30/2026_12:18:53.116;1;3;3,16×10^-05;5,76×10^-06;4,22×10^-13;1,42×10^-12;2,23×10^-10;1,64×10^-11;9,53×10^-11;1,19×10^-12;3,74×10^-12;5,00×10^-15;1,43×10^-09;9,67×10^-12;3,31×10^-10;6,25×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9204492222;0,003741125897;77,49530046;21,5805092
18,584;1785406734,982;07/30/2026_12:18:54.982;1;3;3,15×10^-05;5,74×10^-06;4,42×10^-13;1,41×10^-12;2,25×10^-10;1,65×10^-11;9,57×10^-11;1,17×10^-12;3,67×10^-12;5,00×10^-15;1,43×10^-09;9,64×10^-12;3,30×10^-10;7,39×10^-14;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9309117094;0,004488920898;77,53455419;21,53004518
20,451;1785406736,849;07/30/2026_12:18:56.849;1;3;3,15×10^-05;5,71×10^-06;4,68×10^-13;1,46×10^-12;2,25×10^-10;1,64×10^-11;9,54×10^-11;1,14×10^-12;3,60×10^-12;5,00×10^-15;1,42×10^-09;9,57×10^-12;3,29×10^-10;8,15×10^-14;9,32×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,9269022383;0,005331907945;77,49457159;21,57319427
