PV MassSpec-24.10.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXPORTED RUN DATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Run Path and Name: C:\Pfeiffer Vacuum\data\005-21-2025\1000ppm.isi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/21/2025 15:58:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SensorID:  RGA PrismaPro A 200 47505932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39 Bins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1141 TimePoints;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time Relative (sec);Time Absolute (UTC);Time Absolute (Date_Time);Step;Ionizer_State;Pressure_(mBar);External_Pressure_(mBar);12_amu_(Methane_/_CH4);13_amu_(Methane_/_CH4);14_amu_(Nitrogen_/_N2);15_amu_(Methane_/_CH4);16_amu_(Oxygen_/_O2);17_amu_(Water_/_H2O);18_amu_(Water_/_H2O);22_amu_(Carbon_dioxide_/_CO2);28_amu_(Nitrogen_/_N2);29_amu_(Nitrogen_/_N2);32_amu_(Oxygen_/_O2);44_amu_(Carbon_dioxide_/_CO2);45_amu_(Carbon_dioxide_/_CO2);Periph:_Digital_In_0;Periph:_Digital_In_1;Periph:_Digital_In_13;Periph:_Digital_In_14;Periph:_Digital_In_15;Periph:_Digital_In_16;Periph:_Digital_In_17;Periph:_Digital_Out_2;Periph:_Digital_Out_3;Periph:_Digital_Out_4;Periph:_Digital_Out_5;Periph:_Digital_Out_6;Periph:_Digital_Out_7;Periph:_Digital_Out_8;Periph:_Digital_Out_9;Periph:_Digital_Out_10;Periph:_Digital_Out_11;;ch4;co2;n2;o2
3.563;1747835939.171;3:58:59 PM;1;3;4.135038762e-05;6.612297511e-06;9.297411067e-14;3.458208112e-13;4.92036023e-10;4.716207459e-12;1.743696298e-10;9.253224272e-13;2.68146204e-12;4.443904486e-14;2.906669572e-09;2.00872409e-11;6.70239142e-10;1.055111063e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;8.971838202e-09;0,14;0.001068486246;79.07085516;20.78751479
5.429;1747835941.037;3:59:01 PM;1;3;3.90031455e-05;6.722180842e-06;1.062896922e-13;3.063838788e-13;4.908821682e-10;4.65271181e-12;1.74504855e-10;7.949404481e-13;2.656397888e-12;3.970182337e-14;2.898394413e-09;2.014747917e-11;6.707052136e-10;1.378153776e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.155692937e-08;0.1388262664;0.002078610769;79.0130974;20.84599772
7.295;1747835942.903;3:59:02 PM;1;3;3.885741899e-05;6.683646461e-06;1.201692961e-13;3.565681821e-13;4.889131322e-10;4.582766892e-12;1.739678956e-10;6.824783794e-13;2.575190278e-12;8.411149652e-14;2.878557614e-09;1.996438431e-11;6.647654649e-10;2.102301758e-13;1.839579717e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5.918501243e-09;0.1378313383;0.00439233304;79.04140368;20.81637265
9.162;1747835944.770;3:59:04 PM;1;3;3.890719745e-05;6.650420346e-06;1.72382738e-13;4.980618782e-13;4.93208141e-10;4.743377132e-12;1.746787992e-10;7.318044825e-13;2.562894992e-12;2.877674837e-14;2.905427454e-09;2.015323672e-11;6.684420795e-10;2.666611235e-13;5.337682472e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;7.055567166e-09;0.1419892908;0.006173431082;79.09993756;20.75189972
11.028;1747835946.636;3:59:06 PM;1;3;3.880643999e-05;6.561809187e-06;2.240814142e-13;4.871353429e-13;4.905292839e-10;4.628932654e-12;1.733812538e-10;7.570830356e-13;2.521502104e-12;4.999999912e-15;2.902126539e-09;2.001703664e-11;6.63580968e-10;2.276656782e-13;7.31834298e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;8.7157467e-09;0.1388800977;0.005005399379;79.20284506;20.65326945
12.895;1747835948.503;3:59:08 PM;1;3;3.889875734e-05;6.647880127e-06;1.810860489e-13;5.203019005e-13;4.888494054e-10;4.728053886e-12;1.739986349e-10;7.598708446e-13;2.491330709e-12;4.999999912e-15;2.897720508e-09;1.989834859e-11;6.656484253e-10;2.243203724e-13;9.034813913e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;9.487139707e-09;0.1420355708;0.004933355001;79.1231069;20.72992417
14.761;1747835950.369;3:59:10 PM;1;3;3.896237467e-05;6.681078503e-06;1.395492744e-13;4.409549711e-13;4.869783465e-10;4.667249226e-12;1.727671756e-10;8.131261506e-13;2.552399698e-12;4.999999912e-15;2.890516493e-09;2.001205798e-11;6.707622791e-10;1.282588131e-13;4.384912707e-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.562685489e-09;0.1400064794;0.001851877416;78.97307197;20.88506967
16.627;1747835952.235;3:59:12 PM;1;3;3.877819472e-05;6.675967143e-06;1.12679641e-13;3.788439289e-13;4.898301209e-10;4.573545969e-12;1.731866733e-10;8.363846725e-13;2.589437562e-12;4.999999912e-15;2.894772422e-09;1.984036373e-11;6.662589924e-10;1.073032451e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4.038322486e-09;0.1369563313;0.001129403429;79.10487938;20.75703489
18.494;1747835954.102;3:59:14 PM;1;3;3.894764814e-05;6.673402368e-06;5.650510035e-14;2.694588259e-13;4.873312309e-10;4.669606282e-12;1.731310095e-10;8.050410924e-13;2.598333658e-12;5.605507513e-14;2.879736671e-09;1.987694731e-11;6.618426363e-10;7.664473846e-14;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1.660114866e-08;0.1402873268;0.0001714733703;79.12092357;20.73861762
20.36;1747835955.968;3:59:15 PM;1;3;3.88403605e-05;6.675967143e-06;8.546752851e-14;3.354986102e-13;4.852934721e-10;4.657401201e-12;1.722291199e-10;8.453219136e-13;2.603767245e-12;7.08516633e-14;2.871828553e-09;1.986530038e-11;6.631621363e-10;1.525333001e-13;4.999999912e-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;9.594363563e-09;0.1403864673;0.002562544204;79.04698244;20.81006855
